MS Zoning,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Kitchen Qual,Functional,Fireplace Qu,Garage Type,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Pool QC,Fence,Misc Feature,Sale Type,Id,MS SubClass,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Mo Sold,SalePrice,Age,Remod Age,Garage Age,Total Area,OverallQual & GrLivArea,GarageArea & Cars,Age & RemodAge,FullBath & RmsAbvGrd
RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,Gable,CompShg,HdBoard,Plywood,BrkFace,5,TA,CBlock,TA,TA,No,GLQ,Unf,GasA,5,Y,SBrkr,4,Typ,0,Attchd,RFn,3,TA,Y,None,None,None,WD ,109,60,0.0,13517,6,8,289.0,533.0,0.0,192.0,725.0,725,754,0,1479,0.0,0.0,2,1,3,1,6,0,2.0,475.0,0,44,0,0,0,0,3,130500,35,6,35.0,16529.0,8874,950.0,210,12
RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,5,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,5,Y,SBrkr,4,Typ,3,Attchd,RFn,3,TA,Y,None,None,None,WD ,544,60,43.0,11492,7,5,132.0,637.0,0.0,276.0,913.0,913,1209,0,2122,1.0,0.0,2,1,4,1,8,1,2.0,559.0,0,74,0,0,0,0,4,220000,15,14,14.0,15292.0,14854,1118.0,210,16
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,3,Gd,CBlock,TA,TA,No,GLQ,Unf,GasA,3,Y,SBrkr,4,Typ,0,Detchd,Unf,3,TA,Y,None,None,None,WD ,153,20,68.0,7922,5,7,0.0,731.0,0.0,326.0,1057.0,1057,0,0,1057,1.0,0.0,1,0,3,1,5,0,1.0,246.0,0,52,0,0,0,0,1,109000,58,4,58.0,10334.0,5285,246.0,232,5
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,4,TA,PConc,Gd,TA,No,Unf,Unf,GasA,4,Y,SBrkr,3,Typ,0,BuiltIn,Fin,3,TA,Y,None,None,None,WD ,318,60,73.0,9802,5,5,0.0,0.0,0.0,384.0,384.0,744,700,0,1444,0.0,0.0,2,1,3,1,7,0,2.0,400.0,100,0,0,0,0,0,4,174000,5,4,4.0,12130.0,7220,800.0,20,14
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Plywood,None,3,TA,PConc,Fa,Gd,No,Unf,Unf,GasA,3,Y,SBrkr,3,Typ,0,Detchd,Unf,3,TA,N,None,None,None,WD ,255,50,82.0,14235,6,8,0.0,0.0,0.0,676.0,676.0,831,614,0,1445,0.0,0.0,2,0,3,1,6,0,2.0,484.0,0,59,0,0,0,0,3,138500,111,18,54.0,16899.0,8670,968.0,1998,12
RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Plywood,None,5,TA,CBlock,TA,TA,No,ALQ,Rec,GasA,5,Y,SBrkr,4,Mod,4,Attchd,Fin,3,TA,Y,None,None,None,WD ,138,20,137.0,16492,6,6,0.0,247.0,713.0,557.0,1517.0,1888,0,0,1888,0.0,0.0,2,1,2,1,6,1,2.0,578.0,0,0,0,0,0,0,6,190000,45,9,45.0,20475.0,11328,1156.0,405,12
RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,Gable,CompShg,VinylSd,VinylSd,BrkFace,4,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,4,Y,SBrkr,3,Typ,0,Basment,Fin,3,TA,Y,None,None,None,New,2827,180,35.0,3675,6,5,82.0,547.0,0.0,0.0,547.0,1072,0,0,1072,1.0,0.0,2,0,2,1,5,0,2.0,525.0,0,44,0,0,0,0,6,140000,6,5,6.0,5945.0,6432,1050.0,30,10
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Plywood,Plywood,BrkFace,2,TA,CBlock,TA,TA,No,Rec,Unf,GasA,2,Y,SBrkr,3,Typ,0,Attchd,RFn,3,TA,Y,None,MnPrv,None,COD,145,20,0.0,12160,5,5,180.0,1000.0,0.0,188.0,1188.0,1188,0,0,1188,1.0,0.0,1,0,3,1,6,0,2.0,531.0,0,0,0,0,0,0,5,142000,52,52,52.0,15247.0,5940,1062.0,2704,6
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,3,TA,CBlock,TA,TA,No,Rec,Unf,GasA,3,Y,SBrkr,3,Typ,0,Detchd,Unf,3,TA,Y,None,MnPrv,Shed,WD ,1942,20,0.0,15783,5,5,0.0,292.0,0.0,632.0,924.0,924,0,0,924,0.0,0.0,1,0,2,1,6,0,1.0,420.0,0,324,0,0,0,0,6,112500,59,59,59.0,18375.0,4620,420.0,3481,6
RL,Pave,None,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,Gable,CompShg,Plywood,Plywood,BrkFace,3,TA,PConc,Gd,TA,Av,Rec,Unf,GasA,3,Y,SBrkr,2,Typ,3,Attchd,Unf,3,TA,Y,None,None,None,WD ,1956,60,70.0,11606,5,5,192.0,650.0,0.0,390.0,1040.0,1040,1040,0,2080,0.0,1.0,1,2,5,1,9,2,2.0,504.0,335,0,0,0,0,0,9,135000,42,42,42.0,15757.0,10400,1008.0,1764,9
